Name ;Location;Headcounts;Industry;Year Founded;Specialities ;Type;Website;
 Copartis;Rueil-Malmaison, Hauts-de-Seine, Île-De-France, France, Nanterre, Europe;87;Financial Services;2017;"sous-traitance bancaire
+5";Privately Held;copartis.fr;
 SOC VELUX FRANCE;Morangis, Essonne, Île-De-France, France, Palaiseau, Europe;21;Software Development;;;;velux.fr;
 TECH IN FRANCE;Paris, Paris, Île-De-France, France, Europe;21;Software Development;;;Public Company;techin.fr;
 ISIWARE;St.-Herblain, Loire-Atlantique, Pays de la Loire, France, Nantes, Europe;24;Software Development;2006;"Amélioration continue
+9";Privately Held;isiware.fr;
 Mister Auto;Villeurbanne, Rhône, Auvergne-Rhône-Alpes, France, Lyon, Europe;242;Technology, Information and Internet;2008;Vente en ligne de pièces et accessoires automobiles and IT;Partnership;mister-auto.com;
 FLOPAR;Caluire-et-Cuire, Rhône, Auvergne-Rhône-Alpes, France, Lyon, Europe;25;Financial Services;;;;societeinfo.com;
 Interstis Solutions;Paris, Paris, Île-De-France, France, Europe;155;Software Development;2014;"outils collaboratifs
+19";Privately Held;interstis.fr;
 Prooftag;Montauban, Tarn-et-Garonne, Occitanie, France, Montauban, Europe;49;IT Services and IT Consulting;2004;"Brand Protection
+3";Privately Held;prooftag.com;
 Groupe STADLINE by XPLOR;La Madeleine, Nord, Hauts-de-France, France, Lille, Europe;35;Software Development;;"Développement informatique et internet lié au sportPHP
+6";Partnership;stadline.com;
 thém-is;Nancy, Meurthe-et-Moselle, Grand Est, France, Nancy, Europe;20;IT Services and IT Consulting;2003;;Privately Held;themis.com;
 Syntys;Alençon, Orne, Normandie, France, Alençon, Europe;41;IT Services and IT Consulting;2025;;Privately Held;syntys.com;
 Nortia;Roubaix, Nord, Hauts-de-France, France, Lille, Europe;118;Financial Services;1994;"Assurance Vie
+7";Self-Employed;nortia.fr;
 Welcount (Welcome Account);Paris, Paris, Île-De-France, France, Europe;21;Financial Services;2022;;Privately Held;welcount.com;
 Systel S.A;Aytré, Charente-Maritime, Nouvelle-Aquitaine, France, La Rochelle, Europe;27;Software Development;1985;;Privately Held;systelsa.net;
 Sofinco S.A.;Roubaix, Nord, Hauts-de-France, France, Lille, Europe;120;Financial Services;;;;sofincos.com;
 Share it;Paris, Paris, Île-De-France, France, Europe;39;IT Services and IT Consulting;2017;;Nonprofit;domainseller.site;
 AM Trust;Asnières-sur-Seine, Hauts-de-Seine, Île-De-France, France, Nanterre, Europe;87;IT Services and IT Consulting;1995;"Location et vente de matériel d'impression
+8";Partnership;amtrust.fr;
 NEXESS;Valbonne, Alpes-Maritimes, Provence-Alpes-Côte D'Azur, France, Grasse, Europe;58;Software Development;2007;"RFIDRFID products
+18";Privately Held;nexess.fr;
 Better Call;Paris, Paris, Île-De-France, France, Europe;24;IT Services and IT Consulting;;;Self-Owned;better-call.com;
 CA CONSUMER FINANCE;Massy, Essonne, Île-De-France, France, Palaiseau, Europe;123;Financial Services;;;;caconsumerfinance.fr;
 Sylq;Villejust, Essonne, Île-De-France, France, Palaiseau, Europe;67;Financial Services;2023;;Privately Held;sylq.io;
 SITACI;Haute-Goulaine, Loire-Atlantique, Pays de la Loire, France, Nantes, Europe;65;Software Development;1987;"logistiqueWMS
+13";Privately Held;sitaci.fr;
 Novia Systems;Paris, Paris, Île-De-France, France, Europe;27;IT Services and IT Consulting;;;;hugedomains.com;
 Perkins Engines;Marseille, Bouches-du-Rhône, Provence-Alpes-Côte D'Azur, France, 1er Arr., Europe;25;Technology, Information and Internet;;;;serge-atelier-marine.com;
 Laymoon;Paris, Paris, Île-De-France, France, Europe;20;Financial Services;2021;"Paiements
+5";Privately Held;laymoon.fr;
 CORHOFI;Lyon, Rhône, Auvergne-Rhône-Alpes, France, Lyon, Europe;173;Financial Services;1987;;Privately Held;corhofi.com;
 Alinto International;Lyon, Rhône, Auvergne-Rhône-Alpes, France, Lyon, Europe;22;IT Services and IT Consulting;2000;"Messagerie
+12";Privately Held;alinto.com;
 AJC société à mission, d'expertise comptable, de commissariat aux comptes à Bordeaux;Bordeaux, Gironde, Nouvelle-Aquitaine, France, Bordeaux, Europe;53;Financial Services;2014;"Expertise comptable
+10";Privately Held;ajc-bordeaux.com;
 AEROLIS;Biot, Alpes-Maritimes, Provence-Alpes-Côte D'Azur, France, Grasse, Europe;27;IT Services and IT Consulting;2003;;Privately Held;aerolis.fr;
 OnlySo;Villeurbanne, Rhône, Auvergne-Rhône-Alpes, France, Lyon, Europe;21;Technology, Information and Internet;2013;"Médias Sociaux
+17";Privately Held;onlyso.fr;
 ALIENCE;Nice, Alpes-Maritimes, Provence-Alpes-Côte D'Azur, France, Nice, Europe;26;Financial Services;;;;alience.fr;
 Petite-Entreprise.net;Logelheim, Haut-Rhin, Grand Est, France, Colmar, Europe;43;Technology, Information and Internet;2007;Conseil aux entreprises and Mise en relation entre professionnels du conseil et chefs d'entreprise;Privately Held;petiteentreprise.com;
 RADèS Consulting;Paris, Paris, Île-De-France, France, Europe;49;IT Services and IT Consulting;2006;"Pilotage des systèmes d'information
+2";Privately Held;rades.fr;
 TREDING INTERNATIONAL;France, Europe;71;Software Development;;;;lagazettefrance.fr;
 Orange Connectivity and Workspace services;Massy, Essonne, Île-De-France, France, Palaiseau, Europe;46;Software Development;;;;cisco.com;
 First ECO - Spécialiste de la Veille Commerciale;Fontaine-lès-Dijon, Côte-d'Or, Bourgogne-Franche-Comté, France, Dijon, Europe;25;Technology, Information and Internet;2001;"veille opportunités d'affaires
+28";Self-Owned;firsteco.fr;
 CEV GROUP;St.-Lô, Manche, Normandie, France, Saint-Lô, Europe;24;IT Services and IT Consulting;1993;"Processing cartes cadeaux
+5";Privately Held;wikimanche.fr;
 BOIS ET DERIVES;Égletons, Corrèze, Nouvelle-Aquitaine, France, Tulle, Europe;28;Financial Services;;;;groupe-bd.fr;
 PREREQUIS;Neuilly-sur-Seine, Hauts-de-Seine, Île-De-France, France, Nanterre, Europe;89;IT Services and IT Consulting;2001;"Oracle E-Business Suite
+16";Privately Held;prerequis.com;
 Stack Labs;Toulouse, Haute-Garonne, Occitanie, France, Toulouse, Europe;35;IT Services and IT Consulting;;"BigDataCloud
+17";Privately Held;stacklabs.com;
 INFFLUX;Vincennes, Val-de-Marne, Île-De-France, France, Nogent-sur-Marne, Europe;58;Software Development;1995;"LOGISTIQUE
+8";Privately Held;infflux.com;
 ACRELEC;Saint-Thibault-des-Vignes, Seine-et-Marne, Île-De-France, France, Torcy, Europe;690;IT Services and IT Consulting;2004;"Digital Self-service Kiosks
+10";Privately Held;acrelec.com;
 LESCURE;La Garde, Var, Provence-Alpes-Côte D'Azur, France, Toulon, Europe;22;Financial Services;;;;lescureviandesetprimeur.com;
 XOTIS;Mercin-et-Vaux, Aisne, Hauts-de-France, France, Soissons, Europe;25;Software Development;1991;"PaieComptabilité
+9";Privately Held;xotis.com;
 Vectors;Antony, Hauts-de-Seine, Île-De-France, France, Antony, Europe;32;Software Development;2022;"Atlassian
+2";Privately Held;vectors.io;
 HERVE;Paris, Paris, Île-De-France, France, Europe;21;IT Services and IT Consulting;2016;"Virtual Reality360
+19";Privately Held;herve.fr;
 GUINGUETTE;Marseille, Bouches-du-Rhône, Provence-Alpes-Côte D'Azur, France, 1er Arr., Europe;69;Financial Services;;;;guinguette.fr;
 ConsonanceWeb / Aloa - Solutions eTourisme;Brive-la-Gaillarde, Corrèze, Nouvelle-Aquitaine, France, Brive-la-Gaillarde, Europe;26;Software Development;2004;"Logiciels Full Web
+6";Privately Held;aloa-tourisme.com;
 Hermesiane;Paris, Paris, Île-De-France, France, Europe;34;Financial Services;2012;"Conseils aux entreprises
+13";Privately Held;hermesiane.fr;
 NEVA;Paris, Paris, Île-De-France, France, Europe;23;Financial Services;1995;Financement de la recherche et de l'innovation;Privately Held;neva.fr;
 DIGIT'HALL;St.-Rémy-de-Provence, Bouches-du-Rhône, Provence-Alpes-Côte D'Azur, France, Arles, Europe;41;IT Services and IT Consulting;;"Informatique
+9";Public Company;digithall.org;
 Teezily;Paris, Paris, Île-De-France, France, Europe;31;Technology, Information and Internet;2013;"Customisation
+11";Partnership;teezily.co;
 Technomade;Bordeaux, Gironde, Nouvelle-Aquitaine, France, Bordeaux, Europe;25;IT Services and IT Consulting;2004;"CRMMicrosoft Dynamics 365
+12";Privately Held;technomade.com;
 Cezam;Paris, Paris, Île-De-France, France, Europe;26;Software Development;;;;cezam.fr;
86;Paris, Paris, Île-De-France, France, Europe;33;Software Development;2018;"appsonboarding
+2";Privately Held;ratp.fr;
 Webpublication;Levallois-Perret, Hauts-de-Seine, Île-De-France, France, Nanterre, Europe;41;Technology, Information and Internet;2007;"Rich media flipbookiPad
+14";Privately Held;webpublication.fr;
 Arrow ECS France;Courbevoie, Hauts-de-Seine, Île-De-France, France, Nanterre, Europe;365;IT Services and IT Consulting;1992;"Communications unifiées
+5";Public Company;arrow.com;
 ASTORIA FINANCE;Paris, Paris, Île-De-France, France, Europe;369;Financial Services;;"Conseil en Gestion de Patrimoine
+8";Self-Owned;astoriafinance.com;
 Trading Central;Paris, Paris, Île-De-France, France, Europe;295;Financial Services;1999;"News Aggregation
+13";Privately Held;tradingcentral.com;
 Orthalis;Pau, Pyrénées-Atlantiques, Nouvelle-Aquitaine, France, Pau, Europe;47;Software Development;;;Privately Held;orthalis.com;
 Advences;Paris, Paris, Île-De-France, France, Europe;39;Software Development;1985;"package dynamique
+3";Privately Held;advences.com;
 FIVES CAIL;Villeneuve-d'Ascq, Nord, Hauts-de-France, France, Lille, Europe;27;Software Development;;;;fivesgroup.com;
 SP3 NETTOYAGE;Rueil-Malmaison, Hauts-de-Seine, Île-De-France, France, Nanterre, Europe;71;IT Services and IT Consulting;;;Privately Held;mappy.com;
 Services et conseil informatiques par Mr Zaher Nourredine;Brienne-le-Château, Aube, Grand Est, France, Bar-sur-Aube, Europe;56;IT Services and IT Consulting;2018;"healthcarehealth
+5";Self-Employed;pple.fr;
 METAWARE TECHNOLOGIES;Le Pecq, Yvelines, Île-De-France, France, Saint-Germain-en-Laye, Europe;20;Software Development;;;;e-pro.fr;
 Fieldbox;Bordeaux, Gironde, Nouvelle-Aquitaine, France, Bordeaux, Europe;46;IT Services and IT Consulting;;"Artificial Intelligence
+15";Privately Held;fieldbox.com;
 Obeo;Carquefou, Loire-Atlantique, Pays de la Loire, France, Nantes, Europe;67;Software Development;2005;"Software development industrialization
+5";Privately Held;obeosoft.com;
 La Financière de l'Echiquier;Paris, Paris, Île-De-France, France, Europe;225;Financial Services;1991;"Société de gestion de portefeuilles
+19";Privately Held;lfde.com;
 Agoranov;Paris, Paris, Île-De-France, France, Europe;28;Technology, Information and Internet;2000;"Incubateur
+2";Nonprofit;kyxar.fr;
 Qileo - Le 1er compte pro éthique;Paris, Paris, Île-De-France, France, Europe;23;Financial Services;2022;"greentechfintech
+5";Privately Held;qileo.com;
 Sirdata;Paris, Paris, Île-De-France, France, Europe;35;Software Development;2012;"Data Processing
+13";Privately Held;sirdata.com;
 UHT;Paris, Paris, Île-De-France, France, Europe;21;Technology, Information and Internet;;"web strategy
+3";Privately Held;ghu-paris.fr;
 O2i Ingénierie;Gennevilliers, Hauts-de-Seine, Île-De-France, France, Nanterre, Europe;65;IT Services and IT Consulting;1989;"Formation
+3";Public Company;o2i-ingenierie.com;
 EXOTIC CAR;Le Haillan, Gironde, Nouvelle-Aquitaine, France, Bordeaux, Europe;42;Financial Services;;;;exoticcar.fr;
 Be API;Paris, Paris, Île-De-France, France, Europe;39;Technology, Information and Internet;2009;"WordPress
+19";Privately Held;beapi.fr;
 ADILIS;Saint-Cyr-sur-Mer, Var, Provence-Alpes-Côte D'Azur, France, Toulon, Europe;93;Software Development;;;;adilis.fr;
 Percall Group;Lyon, Rhône, Auvergne-Rhône-Alpes, France, Lyon, Europe;341;IT Services and IT Consulting;2000;"PLMIOT
+8";Privately Held;percallgroup.com;
 Financière Cofidim;Écully, Rhône, Auvergne-Rhône-Alpes, France, Lyon, Europe;28;Software Development;;;;e-pro.fr;
 Catamania;St.-Herblain, Loire-Atlantique, Pays de la Loire, France, Nantes, Europe;789;IT Services and IT Consulting;1999;;Privately Held;catamania.com;
 RUET;Le Kremlin-Bicêtre, Val-de-Marne, Île-De-France, France, L'Haÿ-les-Roses, Europe;43;Financial Services;;;;ruet.com;
 V.N.F.;Selles, Marne, Grand Est, France, Reims, Europe;46;Financial Services;;;;vnf.fr;
 Compagnie Francaise Informatique;Saint Denis Cedex, Île-De-France, France;114;IT Services and IT Consulting;1981;"Société de Services et Distribution Informatique
+8";Partnership;cfigroupe.com;
 ELYSEE CONSULTING;Paris, Paris, Île-De-France, France, Europe;63;Financial Services;2002;"Conseil en Gestion de Patrimoine
+3";Privately Held;elysee-consulting.fr;
 DIGITAL MEDIA MOBILE;Clichy, Hauts-de-Seine, Île-De-France, France, Nanterre, Europe;24;Software Development;2014;"PUBLICITE LOCALE
+6";Privately Held;digitalmediamobile.fr;
 SWEETHOME;Nice, Alpes-Maritimes, Provence-Alpes-Côte D'Azur, France, Nice, Europe;78;IT Services and IT Consulting;2018;;Privately Held;sweethome.co;
 AMPHITRITE;Palaiseau, Essonne, Île-De-France, France, Palaiseau, Europe;22;Software Development;2021;;Privately Held;amphitrite.fr;
 EFIRACK;Migennes, Yonne, Bourgogne-Franche-Comté, France, Auxerre, Europe;30;IT Services and IT Consulting;1991;"Solutions Datacenter
+24";Partnership;efirack.fr;
 TBIS;Paris, Paris, Île-De-France, France, Europe;26;Software Development;;;;tbis.com;
 Hupi;Bidart, Pyrénées-Atlantiques, Nouvelle-Aquitaine, France, Bayonne, Europe;25;IT Services and IT Consulting;2014;BigData and Predictions real-time;Partnership;hupi.com;
 MD Company;Levallois-Perret, Hauts-de-Seine, Île-De-France, France, Nanterre, Europe;24;Technology, Information and Internet;;"E-commerce
+3";;mdcompany.com;
 Siveco Group;Montigny-le-Bretonneux, Yvelines, Île-De-France, France, Versailles, Europe;107;Software Development;1986;"GMAO/CMMS
+13";Privately Held;siveco.fr;
 Swizy;Lognes, Seine-et-Marne, Île-De-France, France, Torcy, Europe;52;Software Development;;;Privately Held;swizy.fr;
 Sight;Paris, Paris, Île-De-France, France, Europe;42;IT Services and IT Consulting;2023;;Privately Held;available.forsale;
 Limova.ai;Nice, Alpes-Maritimes, Provence-Alpes-Côte D'Azur, France, Nice, Europe;47;Technology, Information and Internet;2024;;Privately Held;limova.ai;
 LJBM;Paris, Paris, Île-De-France, France, Europe;25;Software Development;;;;ljbm.com;
 PRO EVOLUTION;Paris, Paris, Île-De-France, France, Europe;23;Technology, Information and Internet;;;;proevolution.pro;
 LUCERNYS;Paris, Paris, Île-De-France, France, Europe;22;IT Services and IT Consulting;1996;"Optimisation des Productions Informatiques
+15";Privately Held;lucernys.fr;
 ADBI;Paris, Paris, Île-De-France, France, Europe;48;IT Services and IT Consulting;2014;"Business Intelligence
+25";Privately Held;adbi.fr;
 AFI (Agence Française Informatique);Lognes, Seine-et-Marne, Île-De-France, France, Torcy, Europe;64;Software Development;1981;"Bibliothèque
+14";Partnership;afi-sa.net;
 5A Solutions;Blagnac, Occitanie, France;28;IT Services and IT Consulting;2013;"Conseil
+3";Partnership;5asolutions.com;
 Netwave;Labège, Haute-Garonne, Occitanie, France, Toulouse, Europe;57;Technology, Information and Internet;2023;"Big Data
+7";Privately Held;netwave.com;
 HRC ENVIRONNEMENT;Perpignan, Pyrénées-Orientales, Occitanie, France, Perpignan, Europe;22;IT Services and IT Consulting;2018;;Self-Owned;hrc-environnement.com;
 Global Blue France;Levallois-Perret, Hauts-de-Seine, Île-De-France, France, Nanterre, Europe;26;Technology, Information and Internet;1980;"Tax Free Shopping
+18";Privately Held;globalblue.com;
 M.I.S;Grenoble, Isère, Auvergne-Rhône-Alpes, France, Grenoble, Europe;35;Technology, Information and Internet;;"Advanced Master of Internet Strategy
+2";Educational;grenoble-congres.com;
 SIPPE;Croissy-Beaubourg, Seine-et-Marne, Île-De-France, France, Torcy, Europe;25;IT Services and IT Consulting;2013;"Câblage VDI
+6";Privately Held;sippe.fr;
 DEFTA;Chessy, Seine-et-Marne, Île-De-France, France, Torcy, Europe;56;Financial Services;;;;defta.eu;
 Latitude-Cartagène Cartographies;Lyon, Rhône, Auvergne-Rhône-Alpes, France, Lyon, Europe;31;IT Services and IT Consulting;1988;"Cartographie
+22";Partnership;latitude-cartagene.com;
 Saphir Consult France;Paris, Paris, Île-De-France, France, Europe;32;Software Development;;;Privately Held;saphirconsult.com;
 PHAST;Paris, Paris, Île-De-France, France, Europe;47;Software Development;2006;"Interopérabilité sémantique
+2";Privately Held;phast.fr;
 DORNACH FRANCE;Roncq, Nord, Hauts-de-France, France, Lille, Europe;62;Software Development;;;Self-Owned;dornach.fr;
 Cantoo;Ourlet, Nord, Hauts-de-France, France, Lille, Europe;29;Software Development;2019;"EDTECH
+4";Privately Held;cantoo.fr;
 Corma;Paris, Paris, Île-De-France, France, Europe;35;Software Development;2023;"saasSoftware
+8";Privately Held;corma.io;
 Orsay;Puteaux, Hauts-de-Seine, Île-De-France, France, Nanterre, Europe;100;Financial Services;2020;"Franchises
+3";Privately Held;orsay.fr;
 ALLIANCE OCEANE & CHARCUTIERE;Le Mans, Sarthe, Pays de la Loire, France, Le Mans, Europe;50;Software Development;;;;allianceoceane.fr;
 DIS (Groupe ZF);St.-Hilaire-de-Brethmas, Gard, Occitanie, France, Alès, Europe;36;Software Development;;;Privately Held;zf.com;
 Artemys Agil-IT (groupe Artemys);Isneauville, Seine-Maritime, Normandie, France, Rouen, Europe;20;IT Services and IT Consulting;;"BIBDD
+4";Privately Held;groupeartemys.com;
 Neyrial Informatique;Clermont-Ferrand, Puy-de-Dôme, Auvergne-Rhône-Alpes, France, Clermont-Ferrand, Europe;51;IT Services and IT Consulting;1980;"Infrastructure et Réseaux
+3";Partnership;neyrial.com;
 Sodero;Nantes, Loire-Atlantique, Pays de la Loire, France, Nantes, Europe;45;Financial Services;1958;"Capital Création
+2";Privately Held;sodero.fr;
 ChapsVision CyberGov;Suresnes, Hauts-de-Seine, Île-De-France, France, Nanterre, Europe;172;IT Services and IT Consulting;;;Privately Held;chapsvisioncybergov.fr;
 Mes Potos;Paris, Paris, Île-De-France, France, Europe;63;Financial Services;2020;"Fintech
+7";Self-Owned;mespotos.fr;
 CIAG;Toulouse, Haute-Garonne, Occitanie, France, Toulouse, Europe;26;IT Services and IT Consulting;1982;"Ingénierie informatique
+10";Partnership;ciag.fr;
 SOL STRUCTURE GROUPE;Savigny-le-Temple, Seine-et-Marne, Île-De-France, France, Melun, Europe;21;Financial Services;;;;solstructure.fr;
 Alcyor;Lyon, Rhône, Auvergne-Rhône-Alpes, France, Lyon, Europe;51;IT Services and IT Consulting;2008;"AMOA et Conduite de projets
+2";Privately Held;alcyor.fr;
 Groupe FrameIP;Eslettes, Seine-Maritime, Normandie, France, Rouen, Europe;33;IT Services and IT Consulting;;"telecomréseaux
+5";Privately Held;frameip.fr;
 ASC Trust;La Seyne-sur-Mer, Var, Provence-Alpes-Côte D'Azur, France, Toulon, Europe;25;Financial Services;;;Privately Held;asctrust.com;
 BLANDINE;Le Lamentin, Guadeloupe, France;47;Financial Services;;;;blandine.fr;
 Lepape;Paris, Paris, Île-De-France, France, Europe;80;Technology, Information and Internet;1996;"RunningVélo
+4";Privately Held;lepape.net;
 Telecom Etude;Palaiseau, Essonne, Île-De-France, France, Palaiseau, Europe;24;IT Services and IT Consulting;1979;"Développement web
+12";Nonprofit;telecom-etude.fr;
 KRYSTEL;Saint-Raphaël, Var, Provence-Alpes-Côte D'Azur, France, Draguignan, Europe;26;Financial Services;;;;krystel.fr;
 INFOTEL CONSEIL;Neuilly-sur-Seine, Hauts-de-Seine, Île-De-France, France, Nanterre, Europe;40;Software Development;;;;infotel-conseil.com;
 DDFG;Étaules, Côte-d'Or, Bourgogne-Franche-Comté, France, Dijon, Europe;34;Software Development;;;;mairie-etaules.fr;
 FP TECHNOLOGIES;La Bouilladisse, Bouches-du-Rhône, Provence-Alpes-Côte D'Azur, France, 1er Arr., Europe;20;IT Services and IT Consulting;2017;;Privately Held;fptechnologies.com;
 Crowe Avvens;Lyon, Rhône, Auvergne-Rhône-Alpes, France, Lyon, Europe;114;Financial Services;1995;"AccountingAudit
+7";Privately Held;crowe.com;
 ORCALE;Champs-sur-Marne, Seine-et-Marne, Île-De-France, France, Torcy, Europe;72;Software Development;;;;chateau-champs-sur-marne.fr;
 Sidonie;Montreuil, Seine-Saint-Denis, Île-De-France, France, Bobigny, Europe;25;Technology, Information and Internet;2015;"Produits connectés seniors
+3";Partnership;sidonie.eu;
 SOCIETE COOPERATIVE AGRICOLE MADIVIAL;Martinique, France, Europe;21;Software Development;;;;madivial.fr;
 OTCex;Paris, Paris, Île-De-France, France, Europe;90;Financial Services;;broker;Privately Held;siparex.com;
 Ithaque;Paris, Paris, Île-De-France, France, Europe;20;IT Services and IT Consulting;1989;consulting on financial markets information systems;Privately Held;ithaque-renovation.fr;
 Aleda;Challans, Vendée, Pays de la Loire, France, Les Sables-d'Olonne, Europe;103;Software Development;;"Grossiste en téléphonie mobile prépayée
+3";Privately Held;aleda.fr;
 MASORA;Paris, Paris, Île-De-France, France, Europe;47;Financial Services;;;;masora.ai;
 ATECNA;Wasquehal, Nord, Hauts-de-France, France, Lille, Europe;181;Technology, Information and Internet;2007;"Développement web
+24";Partnership;atecna.fr;
 WORKEN - ACIMEX;Giberville, Calvados, Normandie, France, Caen, Europe;20;Technology, Information and Internet;1985;;Self-Employed;worken.fr;
 BNP PARISBAS ASSET MANAGEMENT HOLDING PAR ABREVIATION BNPP AM HOLDING;Paris, Paris, Île-De-France, France, Europe;65;Financial Services;;;;bnpparibas-am.com;
 SOTRAPLAST;Cheillé, Indre-et-Loire, Centre-Val de Loire, France, Chinon, Europe;21;Financial Services;;;;site-solocal.com;
 Mediactive Group;Paris, Paris, Île-De-France, France, Europe;73;IT Services and IT Consulting;1995;"Internet Hosting & Telecoms
+9";Privately Held;groupe-mediactive.fr;
 La Nef, pour la banque éthique;Vaulx En Velin Cedex, Auvergne-Rhône-Alpes, France;134;Financial Services;1988;;Privately Held;lanef.com;
 NEURONES-IT;Hauts-de-Seine, Île-De-France, France, Nanterre, Europe;405;IT Services and IT Consulting;1999;"Services InformatiquesCloud
+13";Privately Held;neurones-it.com;
 Bsecure;Paris, Paris, Île-De-France, France, Europe;32;IT Services and IT Consulting;2009;"Offensive security
+5";Privately Held;bsecure.fr;
 SMCP Group;Paris, Paris, Île-De-France, France, Europe;21;Financial Services;;;;smcp.com;
 PB CONSULT;Yzeure, Allier, Auvergne-Rhône-Alpes, France, Moulins, Europe;33;Financial Services;;;;pb-consult.fr;
 JEHANN;Nantes, Loire-Atlantique, Pays de la Loire, France, Nantes, Europe;29;Software Development;;;;jehann.fr;
 Knowllence;Paris, Paris, Île-De-France, France, Europe;35;Software Development;2001;"fmeaAMDEC
+25";Privately Held;knowllence.com;
 Digital Product Simulation;La Celle-Saint-Cloud, Yvelines, Île-De-France, France, Saint-Germain-en-Laye, Europe;146;IT Services and IT Consulting;1997;"PLMSimulation Numérique
+14";Privately Held;digitalproduct.io;
 Amesys Conseil;Aix-en-Provence, Bouches-du-Rhône, Provence-Alpes-Côte D'Azur, France, Aix-en-Provence, Europe;121;IT Services and IT Consulting;1979;;Public Company;doctrine.fr;
 4D;Le Pecq, Yvelines, Île-De-France, France, Saint-Germain-en-Laye, Europe;408;Software Development;1984;"Software
+20";Privately Held;4d.com;
 ActivIdentity Europe S.A;Suresnes, Hauts-de-Seine, Île-De-France, France, Nanterre, Europe;24;Software Development;;;;societeinfo.com;
 Koperasi UIAM Berhad (coopiium);Saint-Baudelle, Mayenne, Pays de la Loire, France, Mayenne, Europe;98;Financial Services;1985;"financial credittrading
+1";Public Company;coopiium.com;
 EPI;Paris, Paris, Île-De-France, France, Europe;31;IT Services and IT Consulting;;;Self-Owned;pantheonsorbonne.fr;
 ZEN GROUP;Saint-Bauzille-de-Montmel, Hérault, Occitanie, France, Montpellier, Europe;24;Financial Services;;;;houzz.fr;
 Microfinance Delta International Company Limited.;Maubeuge, Nord, Hauts-de-France, France, Avesnes-sur-Helpe, Europe;65;Financial Services;2013;;Privately Held;mifida-myanmar.com;
 Groupe Prog'Info;Gémenos, Bouches-du-Rhône, Provence-Alpes-Côte D'Azur, France, 1er Arr., Europe;44;IT Services and IT Consulting;1995;erp;Self-Owned;groupe-proginfo.com;
 Pixel IQ - CRM CEE;Boulogne-Billancourt, Hauts-de-Seine, Île-De-France, France, Boulogne-Billancourt, Europe;34;Software Development;2020;"EnergieCEE
+6";Privately Held;pixeliq.com;
 manifatture;Paris, Paris, Île-De-France, France, Europe;34;Software Development;2021;;Privately Held;hugedomains.com;
 Talent Business Solutions;Eckbolsheim, Bas-Rhin, Grand Est, France, Strasbourg, Europe;122;Software Development;2012;"logiciels de gestionBI
+11";Privately Held;talent-bs.com;
 Tilbury;Paris, Paris, Île-De-France, France, Europe;23;IT Services and IT Consulting;1998;"CRMSFA
+10";Privately Held;tilbury.com;
 Eglise et Innovation Numérique;Montmartre, Paris, Île-De-France, France, Europe;43;IT Services and IT Consulting;2016;"Gestion de projet
+3";Nonprofit;helloasso.com;
 SB Consulting;Paris, Paris, Île-De-France, France, Europe;34;Software Development;2001;;Privately Held;sbconsulting.fr;
 STARTX;Neuilly-sur-Seine, Hauts-de-Seine, Île-De-France, France, Nanterre, Europe;23;IT Services and IT Consulting;2003;"Red Hat
+9";Privately Held;startx.fr;
 Amco India Ltd;Saussemesnil, Manche, Normandie, France, Cherbourg-Octeville, Europe;24;Software Development;;;;amcoindialimited.com;
 ENTREPRISE PRIVEE DE CONSTRUCTION DE BATIMENT;Venelles, Bouches-du-Rhône, Provence-Alpes-Côte D'Azur, France, Aix-en-Provence, Europe;690;Financial Services;;;;bilik.fr;
 Ouvrages;Clermont-Ferrand, Puy-de-Dôme, Auvergne-Rhône-Alpes, France, Clermont-Ferrand, Europe;22;Software Development;2000;"rubyruby on rails
+6";Privately Held;ouvrages.io;
 Garden;Paris, Paris, Île-De-France, France, Europe;453;IT Services and IT Consulting;2002;"Web development
+3";Privately Held;garden.com;
 TRANSEX;Paris, Paris, Île-De-France, France, Europe;122;Financial Services;2017;Deals in Finance,Logistics,Steel etc. Its MNC with manpower of 2000+ Employees;Public Company;transex.com;
 Main Securite;Marseille, Bouches-du-Rhône, Provence-Alpes-Côte D'Azur, France, 1er Arr., Europe;160;Software Development;;;;ges-securite-privee.org;
 IBSI;Nanterre, Hauts-de-Seine, Île-De-France, France, Nanterre, Europe;53;IT Services and IT Consulting;2003;"Assistance opérationnelle
+4";Privately Held;ibsi.fr;
 DIEMS;Viroflay, Yvelines, Île-De-France, France, Versailles, Europe;27;Financial Services;;;;ville-viroflay.fr;
 LIBRE COMMERCE;Montpellier, Hérault, Occitanie, France, Montpellier, Europe;119;Software Development;;;;hugedomains.com;
 INVALIDES;Paris, Paris, Île-De-France, France, Europe;20;Financial Services;;;;invalides.fr;
 SS2I;Montpellier, Hérault, Occitanie, France, Montpellier, Europe;44;Software Development;;;;ss2i.com;
 Bluedrop;Marseille, Bouches-du-Rhône, Provence-Alpes-Côte D'Azur, France, 1er Arr., Europe;41;Technology, Information and Internet;1998;"Open source
+18";Privately Held;bluedrop.fr;
 INFODESCA;Lyon, Rhône, Auvergne-Rhône-Alpes, France, Lyon, Europe;24;Software Development;;;;descours-cabaud.com;
 RockFi;Paris, Paris, Île-De-France, France, Europe;68;Financial Services;2023;;Privately Held;rockfi.fr;
 ATHLON CAR LEASE;Le Bourget, Seine-Saint-Denis, Île-De-France, France, Bobigny, Europe;39;Financial Services;;;;athlon.com;
